trader,realized_pnl,unrealized_pnl,net_pnl,tokens_traded
BCVpubM3h9iBTdkak1K4UWQrtiXiPBhP7QX1bwMBLoQX,66.8145262992318,261.2090114790385,328.02353777827034,5
59VWAebg3zpefxy6BB3LBuFW23LiMwxLge2F7snoNJqf,0.0,-328.2114610384848,-328.2114610384848,2
h6yhAdbFREwr8w1CpmxvQMdZ5iFgqdaMtR91UxBETdk,-225.74691699999994,-826.9652254516225,-1052.7121424516224,5
CYesq9sKB6WBX9zH2QbWzdvTyN8sJZEKaGsqfyHDbQD4,-13.219582949029093,-199.5900571963717,-212.8096401454008,1
7EPT9xpnkSBzLCLFw4nigsTWEDuT72hk62xCTdGgwi5s,0.0,-288.1328128707128,-288.1328128707128,1
3z6YJGjJcD3xjxUS2D9tMLyW92MnupvUv9RDTPfU8joL,4.553833319884982,-66.79667039772978,-62.242837077844804,1
44pJKhQtgsJJ8Tvzuf5ea8v8j8pF9d539Uqe2VVmL3vo,-2.911228401431586,-368.01565949079645,-370.926887892228,1
3JaedQGvkpVCrJNocDv1ZWq5wf6QBLMuoD1MSDbXdPSP,1372.9808492713673,-1666.138669702883,-293.1578204315156,5
571DhSCtMidDqdx2kaRWJyhkCmRZDTShgi3SkzTWnq5v,881.3402235749015,-191.65117322049196,689.6890503544096,2
BsbFXsNDGRJFfPuArQRRueL6LhJpqjMkfmCsUDPNyXL8,-9.556103507845116,-307.96061279333196,-317.5167163011771,1
G3a364EZU7qD4UBHZY6aP3cNgvUFx3RjJgeKPhpQBnqe,0.0,-450.1873900616749,-450.1873900616749,1
GPgPrW7EixgnZGajAez9BKd9s7Jos4S9X7QjpS1NEgXx,0.0,-179.90541740683972,-179.90541740683972,1
FkHYTXWouKe7UpPrf34z15SWBFd8wnukeUY12fqNAm7H,0.0,-549.3316713043312,-549.3316713043312,2
GuZDEx6uLkvgZDdPugR28ZnfmNkaVHnJ6nhKTKC8L8JD,865.6188340405774,-5338.9546286346385,-4473.335794594061,22
